"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
476321,"December 31, 2015",Louisiana,"New Orleans","1900 block of Amelia Street",5,0,1,0,1,N/A
473882,"December 27, 2015",Tennessee,Jackson,"North Parkway",4,0,0,0,0,N/A
472268,"December 26, 2015",Pennsylvania,Philadelphia,"4210 Macalester St",4,0,0,0,2,N/A
471867,"December 25, 2015",Florida,Jacksonville,"Franklin and Odessa",4,0,0,0,0,N/A
471860,"December 25, 2015",Alabama,Mobile,"785 Schillinger Rd S",4,0,0,0,0,N/A
469468,"December 21, 2015",California,"San Leandro","14600 block of East 14th Street",4,0,0,0,2,N/A
468968,"December 20, 2015","North Carolina",Wilmington,"11th and Castle Street",4,1,0,0,0,N/A
469614,"December 20, 2015",Florida,"North Miami Beach","NE 167th St and NE 6th Ave",4,0,0,0,0,N/A
468787,"December 19, 2015",Florida,Miami,"21630 SW 120th Ave",4,1,0,0,0,N/A
464665,"December 13, 2015",California,"Los Angeles","5550 S. Flower Street",3,1,0,0,0,N/A
464945,"December 13, 2015",California,"Huntington Beach","17000 block of Keelson Lane",4,0,0,0,0,N/A
465117,"December 12, 2015",Illinois,"Lovejoy (Brooklyn)","307 Jefferson St",3,1,0,0,1,N/A
464002,"December 12, 2015",Georgia,Savannah,"Whitaker Street",4,0,0,0,1,N/A
463642,"December 11, 2015",Maryland,Baltimore,"5100 block of Park Heights Avenue",3,1,0,0,0,N/A
463734,"December 11, 2015",Pennsylvania,Pittsburgh,"1222 Brownsville Rd",4,0,0,0,0,N/A
461476,"December 8, 2015",Ohio,Cincinnati,"2300 block of Baltimore Ave",3,1,0,0,1,N/A
460049,"December 6, 2015",Louisiana,Raceland,"Market Street",3,1,0,0,2,N/A
460386,"December 6, 2015",Nebraska,Omaha,"North 108th Street and Military Road",3,2,0,0,1,N/A
456893,"December 2, 2015",California,"San Bernardino","1365 South Waterman Ave",19,14,0,2,0,N/A
457037,"December 2, 2015",Georgia,Savannah,"100 block of West 33rd Street",3,1,0,0,0,N/A
455394,"November 29, 2015",Illinois,Kankakee,"648 E Court St",5,0,0,0,0,N/A
454059,"November 27, 2015",Colorado,"Colorado Springs","3480 Centennial Blvd",9,3,0,0,1,N/A
455684,"November 27, 2015",California,Sacramento,"7900 block of Florin Road",2,2,0,0,0,N/A
454788,"November 24, 2015","South Carolina",Conway,"1321 Colletta Ct",4,0,0,0,0,N/A
452120,"November 23, 2015",Minnesota,Minneapolis,"Morgan Avenue North",5,0,0,0,4,N/A
452007,"November 23, 2015",Ohio,Columbus,"90 block of S Terrace Ave",1,3,0,1,0,N/A
453317,"November 22, 2015",Texas,Brownsville,"1800 block of FM 802",3,0,1,0,0,N/A
451305,"November 22, 2015","New York",Newburgh,"203 Broadway",5,0,0,0,0,N/A
452362,"November 22, 2015","South Carolina","North Charleston","Park Circle",3,1,0,0,1,N/A
451349,"November 22, 2015",Illinois,Chicago,"4100 block of West Roosevelt",4,0,0,0,0,N/A
451495,"November 22, 2015",Louisiana,"New Orleans","1900 block of Gallier St",17,0,0,0,9,N/A
451338,"November 22, 2015",Washington,Seattle,"Broadway and Pike",4,0,0,0,2,N/A
451057,"November 21, 2015",Maryland,Baltimore,"Stricker and School",3,1,0,0,0,N/A
450505,"November 20, 2015",Pennsylvania,Pittsburgh,"Prospect Drive",3,1,0,0,0,N/A
449814,"November 18, 2015",California,Fresno,"California Avenue and Martin Luther King Jr. Boulevard",5,0,0,0,0,N/A
448653,"November 16, 2015",Alabama,"Cedar Bluff","1460 County Rd 664",1,3,0,0,1,N/A
448419,"November 15, 2015",Texas,"Tennessee Colony","800 block of An County Rd 2217",0,5,0,0,1,N/A
448286,"November 15, 2015",Pennsylvania,Philadelphia,"5600 block of Blakemore St",4,0,0,0,0,N/A
447462,"November 14, 2015",Pennsylvania,Johnstown,"1159 Main St",4,0,0,0,0,N/A
446996,"November 13, 2015",Florida,Jacksonville,"1300 block of South Shirley Oaks Drive",1,3,0,1,0,N/A
444458,"November 9, 2015",Indiana,Indianapolis,"400 block of North Beville Ave",2,2,0,0,3,N/A
443821,"November 8, 2015",Iowa,"Des Moines","4397 NW 6th Drive",3,1,0,0,1,N/A
444168,"November 8, 2015",Michigan,Warren,"13859 8 Mile Road",4,0,0,0,0,N/A
443652,"November 7, 2015",Colorado,Denver,"Bayaud and Bannock",3,1,0,0,1,N/A
444406,"November 6, 2015",California,Bakersfield,"1000 block of Feliz Drive",4,0,0,0,0,N/A
441681,"November 3, 2015",Florida,Jacksonville,"Ella Street and Kings Road",3,2,0,0,0,N/A
440743,"November 2, 2015","South Carolina",Pendleton,"2217 Refuge Road",0,4,0,0,0,N/A
438651,"October 28, 2015",Louisiana,Houma,"400 block of Morgan Street",3,1,0,0,2,N/A
437836,"October 27, 2015",Texas,"Fort Worth","1700 block of Southcrest Drive",5,0,0,0,0,N/A
437323,"October 26, 2015",Indiana,Evansville,"711 E Virginia St",2,0,3,0,4,N/A
