"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
740447,"December 31, 2016",Georgia,"Lenox (El Dorado)","27 Briarwood Ct",2,2,0,0,0,N/A
738749,"December 31, 2016",Texas,Houston,"3704 Fannin Street",2,1,1,0,1,N/A
738041,"December 30, 2016",Ohio,Mansfield,"3230 Possum Run Rd",5,0,0,0,0,N/A
738576,"December 30, 2016",Connecticut,Wallingford,"95 S Turnpike Rd",3,2,0,0,2,N/A
736690,"December 28, 2016",Georgia,Columbus,"2914 10th Street",4,1,0,0,0,N/A
734157,"December 25, 2016",Illinois,Chicago,"8600 block of S Maryland Ave",4,3,0,0,0,N/A
735947,"December 25, 2016",Alabama,Ozark,"858 US-231",4,0,0,0,1,N/A
733599,"December 25, 2016","New York","Mount Vernon","4 North 3rd Avenue",5,1,0,0,1,N/A
732927,"December 24, 2016","North Carolina",Madison,"490 K Ford Rd",7,0,0,0,0,N/A
733176,"December 24, 2016","North Carolina",Wilson,"2241 Banks Lane East",0,4,0,0,0,N/A
732263,"December 23, 2016",Alabama,Birmingham,"3813 Richard Arrington Boulevard North",3,1,0,0,1,N/A
732574,"December 23, 2016",Illinois,Chicago,"4900 block of W Hubbard",4,0,0,0,0,N/A
727759,"December 17, 2016",Illinois,"Chicago (Roseland)","100 block of W 105th St",0,5,0,0,1,N/A
728286,"December 17, 2016","North Carolina",Charlotte,"4115 N. Tryon Street",4,0,0,0,2,N/A
727555,"December 16, 2016",Illinois,Chicago,"13th and South Kedzie",4,0,0,0,0,N/A
727544,"December 16, 2016",Illinois,Chicago,"4300 block of South Rockwell",2,2,0,0,0,N/A
724667,"December 12, 2016",California,Sacramento,"4800 block of Myrtle Avenue",3,1,0,0,3,N/A
723649,"December 11, 2016","New York",Brooklyn,"192 Knickerbocker Ave",4,0,0,0,0,N/A
723643,"December 11, 2016",Florida,"Orlando (Pine Hills)","4305 N Pine Hills Rd",4,1,0,0,0,N/A
723292,"December 11, 2016",Maryland,Baltimore,"3916 South Hanover Street",5,0,0,0,0,N/A
725338,"December 11, 2016","North Carolina","Rocky Mount","1200 block of East Highland Ave",4,0,0,0,0,N/A
725323,"December 9, 2016",Texas,Channelview,"15300 block of Market",0,4,0,0,0,N/A
722452,"December 9, 2016",California,Fresno,"842 Fresno Street",4,0,0,0,0,N/A
719128,"December 5, 2016","New Mexico",Albuquerque,"1532 Stagecoach Lane",1,3,0,1,0,N/A
717873,"December 3, 2016",California,"Los Angeles","91st Street and Western Avenue",6,0,0,0,0,N/A
717616,"December 2, 2016","New Jersey",Bloomfield,"3 1st Ave",6,0,0,0,0,N/A
716001,"December 1, 2016",California,"Clearlake Oaks","Pomo Rd",3,1,0,0,1,N/A
715101,"November 30, 2016",Maryland,Baltimore,"2901 Garrison Blvd",4,2,0,0,1,N/A
712796,"November 28, 2016",Texas,"Mission (Palmview)","1840 West Palma Vista Drive",3,1,0,0,1,N/A
712776,"November 28, 2016",California,Wilmington,"1067 McDonald Avenue",4,0,0,0,0,N/A
713445,"November 28, 2016",California,"San Pedro","300 block of West 2nd Street",4,0,0,0,0,N/A
