"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
1017372,"December 31, 2017",Colorado,"Littleton (Highlands Ranch)","3404 E County Line Rd",6,1,0,1,0,N/A
1017422,"December 31, 2017",Illinois,Chicago,"2335 Howard St",4,0,0,0,0,N/A
1018118,"December 31, 2017","New Jersey","Long Branch","635 Wall St",0,4,0,0,1,N/A
1015666,"December 27, 2017",Nevada,"Las Vegas","3750 E Bonanza Rd",2,2,0,0,1,N/A
1015336,"December 26, 2017",Florida,Miami,"NW 18th Ave and 86th Ter",5,0,0,0,0,N/A
1013983,"December 24, 2017",Mississippi,Vicksburg,"1111 Mulberry Street",5,0,0,0,1,N/A
1014052,"December 24, 2017",Alabama,Troy,"100 block of Chapman St",4,1,0,0,1,N/A
1014971,"December 23, 2017",Louisiana,Eunice,"100 block of City Avenue",3,1,0,0,1,N/A
1013377,"December 23, 2017",Alabama,Birmingham,"3rd Ave N and 9th St N",4,0,0,0,0,N/A
1011953,"December 21, 2017",Pennsylvania,Philadelphia,"6600 block of Dorel St",0,0,3,1,0,N/A
1012704,"December 21, 2017",Louisiana,Lafayette,"1500 block of N University Avenue",4,0,0,0,0,N/A
1009629,"December 16, 2017",Mississippi,"Mc Cool (Mccool)","Ferguson Rd",4,0,0,0,1,N/A
1008310,"December 15, 2017",California,Pacoima,"13041 Jouett Street",5,0,0,0,0,N/A
1007054,"December 13, 2017",Ohio,Columbus,"200 block of E Barthman Ave",3,1,0,0,0,N/A
1006150,"December 12, 2017",Kentucky,Louisville,"17th and Gallagher Streets",4,0,0,0,3,N/A
1006446,"December 12, 2017",Texas,Garland,"1301 Rivercrest Ln",4,0,0,0,0,N/A
1004454,"December 9, 2017",Massachusetts,Boston,"Proctor St",4,0,0,0,1,N/A
1002514,"December 6, 2017",Illinois,Chicago,"4620 N Broadway",4,0,0,0,0,N/A
1001566,"December 4, 2017",Pennsylvania,Pittsburgh,"7200 block of Everton St",2,2,0,0,0,N/A
1000479,"December 3, 2017",Tennessee,Memphis,"656 Marshall Ave",3,1,0,0,2,N/A
999969,"December 2, 2017",Michigan,Detroit,"5200 Woodward Avenue",4,0,0,0,1,N/A
998843,"November 30, 2017",Michigan,Detroit,"11000 block of Gunston",4,1,0,0,0,N/A
994323,"November 24, 2017",Mississippi,Brookhaven,"119 Martin Street",6,1,0,0,0,N/A
995015,"November 24, 2017",Ohio,Cleveland,"11618 Buckeye Rd",5,1,0,0,5,N/A
991017,"November 18, 2017",Minnesota,Minneapolis,"3600 block of N Emerson Ave",4,0,0,0,0,N/A
990974,"November 17, 2017",Louisiana,"New Iberia","900 Block of Mississippi St",4,0,0,0,0,N/A
989838,"November 16, 2017",Georgia,Columbus,"1400 block of 15th Street",7,0,0,0,0,N/A
988824,"November 14, 2017",California,Richmond,"900 Block of View Dr",2,2,0,0,0,N/A
987611,"November 14, 2017",California,Corning,"17357 Stagecoach Rd",12,5,0,1,0,N/A
986236,"November 12, 2017",Indiana,Gary,"4601 Melton Rd",7,0,0,0,1,N/A
987134,"November 12, 2017",California,Fresno,"S Calvin Ave",5,0,0,0,0,N/A
986816,"November 12, 2017",Georgia,Atlanta,"50 Lower Alabama St",2,2,0,0,1,N/A
985582,"November 11, 2017",Texas,Dallas,"2532 Martin Luther King Jr Blvd",3,1,0,0,0,N/A
985832,"November 11, 2017","North Carolina",Fayetteville,"2835 Bragg Blvd",4,1,1,0,0,N/A
986092,"November 11, 2017",Louisiana,"New Orleans","Forstall St and Burgundy St",5,1,0,0,0,N/A
984822,"November 10, 2017",Ohio,"Dayton (Trotwood)","193 Olive Rd",4,0,0,0,0,N/A
984455,"November 9, 2017",Pennsylvania,Philadelphia,"1800 block of Ringgold",4,0,0,0,0,N/A
980577,"November 5, 2017",Texas,"Sutherland Springs","216 4th St",20,26,0,1,0,N/A
980269,"November 4, 2017",Texas,Austin,"N Lamar Blvd and Masterson Pass",4,0,0,0,1,N/A
980192,"November 4, 2017",Ohio,Youngstown,"2810 Market St",4,0,0,0,0,N/A
980060,"November 4, 2017",California,"Santa Monica","1515 Ocean Avenue",3,1,0,0,0,N/A
979651,"November 3, 2017",Minnesota,Minneapolis,"10th Ave S and E 24th St",4,0,0,0,1,N/A
980258,"November 3, 2017",California,Gardena,"E 163rd St and S Main St",4,0,0,0,0,N/A
980004,"November 3, 2017","New York",Buffalo,"147 Roosevelt Ave",4,0,0,0,0,N/A
980401,"November 3, 2017",Louisiana,Lacombe,"27600 block of Mirmar Street",4,0,0,1,1,N/A
975600,"October 29, 2017",Texas,Austin,"5500 block of Ave F",3,1,0,0,1,N/A
975817,"October 28, 2017",Ohio,Toledo,"1327 N Huron St",4,0,0,0,0,N/A
974704,"October 28, 2017",Virginia,Petersburg,"N Sycamore St and Franklin",3,1,0,0,0,N/A
974051,"October 27, 2017",Kentucky,Louisville,"1716 Prentice St",6,0,0,0,0,N/A
974411,"October 27, 2017",California,"San Francisco","1100 block of Fillmore",4,0,0,0,0,N/A
966895,"October 23, 2017",California,"Clearlake Oaks","13000 block of Anchor Village",3,2,0,0,1,N/A
966153,"October 22, 2017",Connecticut,Hartford,"Wethersfield Avenue and Elliott Street",4,0,0,0,0,N/A
966178,"October 22, 2017",Alabama,Lanett,"1606 19th St Sw",7,2,0,0,2,N/A
965066,"October 21, 2017",Florida,Tampa,"400 block of E Nordica St",4,0,0,0,0,N/A
965077,"October 21, 2017",Florida,Jacksonville,"164 E Eubanks St",4,0,0,0,0,N/A
965756,"October 21, 2017",Tennessee,Nashville,"1277 12th Ave S",4,0,0,0,0,N/A
965251,"October 21, 2017",Pennsylvania,Chester,"1200 block of W Carlas Ln",4,0,0,0,0,N/A
962359,"October 18, 2017",Maryland,Edgewood,"2111 Emmorton Park Rd",3,3,0,0,1,N/A
962155,"October 17, 2017","New York",Brooklyn,"181 Martense St",4,0,0,0,0,N/A
962623,"October 16, 2017",Mississippi,Meridian,"6010 5th St",3,1,0,0,2,N/A
960036,"October 15, 2017",Texas,Houston,"6233 Gulfton St",2,2,0,0,0,N/A
959126,"October 15, 2017",Arizona,Phoenix,"107th Ave and Camelback Rd",3,1,0,0,0,N/A
957980,"October 12, 2017",California,"Aliso Viejo","6 Asbury Ct",2,2,0,0,1,N/A
957562,"October 11, 2017",Ohio,Pedro,"15497 SR 93",0,4,0,0,1,N/A
956990,"October 10, 2017",California,"Long Beach","1601 E Anaheim St",2,2,0,0,2,N/A
956942,"October 10, 2017",California,"San Francisco","25th St and Treat Ave",4,0,0,0,0,N/A
955268,"October 9, 2017",Texas,Houston,"3352 Old Spanish Trail",5,0,0,0,0,N/A
954428,"October 7, 2017",Arizona,Phoenix,"87th Ave and Thomas Rd",4,0,0,0,0,N/A
953156,"October 6, 2017",Illinois,Chicago,"8000 block of S Marshfield",5,0,0,0,0,N/A
952720,"October 5, 2017",Arizona,"Casa Grande","400 block of W 13th Street",0,4,0,0,2,N/A
952220,"October 3, 2017",Florida,Miami,"2051 NW 65th St",4,0,0,0,0,N/A
945990,"October 1, 2017",Kansas,Lawrence,"1000 block of Massachusetts St",2,3,0,0,3,N/A
946496,"October 1, 2017",Nevada,"Las Vegas","3950 Las Vegas Blvd S",441,58,0,1,0,N/A
946138,"September 30, 2017",Tennessee,Memphis,"800 block of Kerr Avenue",3,1,0,0,0,N/A
944448,"September 28, 2017",Louisiana,"New Orleans","2001 N Rocheblave St",3,1,0,0,0,N/A
942628,"September 26, 2017",Pennsylvania,Philadelphia,"100 block of Pastorius St",3,1,0,0,1,N/A
942522,"September 26, 2017",Tennessee,Memphis,"2531 Chelsea Ave",4,0,0,0,1,N/A
942830,"September 26, 2017",Maryland,Baltimore,"3200 block of Lyndale Ave",2,2,0,0,0,N/A
941144,"September 24, 2017",Maryland,Baltimore,"500 block of E. Patapsco Avenue",4,0,0,0,0,N/A
940554,"September 24, 2017",Tennessee,Antioch,"3890 Pin Hook Rd",7,1,1,0,1,N/A
940644,"September 24, 2017","New York",Syracuse,"1226 E Fayette St",4,0,0,0,0,N/A
1974755,"September 24, 2017",Pennsylvania,Philadelphia,"3400 block of H St",4,0,0,0,0,N/A
941257,"September 24, 2017","New Jersey","Mays Landing","6000 block of Hoover Dr",3,1,0,0,1,N/A
939834,"September 23, 2017",California,Bakersfield,"818 Real Rd",4,1,0,0,3,N/A
940068,"September 23, 2017",Illinois,Danville,"Seminary St and Jackson St",5,0,0,0,0,N/A
940142,"September 23, 2017",Connecticut,Hartford,"1164 Albany Ave",2,2,0,0,1,N/A
939482,"September 20, 2017",Indiana,Gary,"4300 block of 23rd Ct",5,0,0,0,0,N/A
936028,"September 17, 2017",Michigan,Detroit,"5000 block of Stanton Street",3,1,0,0,0,N/A
935928,"September 17, 2017",Virginia,Petersburg,"300 Mistletoe St",4,1,0,0,3,N/A
934036,"September 16, 2017","South Carolina",Columbia,"920 Lady Street",7,0,1,0,4,N/A
933957,"September 15, 2017",Illinois,Chicago,"4700 block of S Fairfield Ave",0,4,0,0,0,N/A
932526,"September 13, 2017",Tennessee,Memphis,"1000 block of Morehead St",5,1,0,0,0,N/A
932181,"September 13, 2017",Washington,Rockford,"14626 S Jackson Rd",3,1,0,0,1,N/A
932906,"September 13, 2017",Pennsylvania,York,"400 block of S Duke St",4,0,0,0,0,N/A
932619,"September 13, 2017",Pennsylvania,Philadelphia,"3100 block of N 2nd St",4,0,0,0,0,N/A
930569,"September 10, 2017",Texas,Plano,"1712 West Spring Creek Parkway",1,8,0,1,0,N/A
930266,"September 10, 2017",Louisiana,"New Orleans","2101 N Claiborne Ave",3,1,0,0,1,N/A
931139,"September 9, 2017",Alabama,Selma,"Kings Bend Road",4,0,0,0,0,N/A
928380,"September 6, 2017",Illinois,Chicago,"2700 block of Madison",4,0,0,0,0,N/A
927277,"September 4, 2017",Illinois,Bellwood,"1000 block of Bellwood Ave",4,0,0,0,0,N/A
926766,"September 3, 2017",California,Inglewood,"10100 block of S Firmona Ave",3,2,0,0,1,N/A
925809,"September 2, 2017",Kentucky,Louisville,"8008 Watterson Trl",4,0,0,0,2,N/A
925436,"September 2, 2017",Illinois,Chicago,"8300 block of S Hermitage",3,1,0,0,0,N/A
922184,"August 28, 2017","New Mexico",Clovis,"701 N Main St",4,2,0,0,1,N/A
921733,"August 27, 2017",California,Sacramento,"7760 24th St",4,1,0,0,3,N/A
921653,"August 27, 2017",Indiana,Evansville,"1127 Chestnut St",3,1,0,0,1,N/A
921289,"August 25, 2017",Florida,Gainesville,"1600 NE 8th Ave",4,0,0,0,1,N/A
920513,"August 24, 2017",Missouri,"Saint Louis","10400 block of Balmoral Dr",0,4,0,0,1,N/A
918204,"August 22, 2017",Illinois,Chicago,"300 block of N Central Ave",4,0,0,0,0,N/A
917793,"August 21, 2017","New Jersey",Newark,"Fabyan Place",4,0,0,0,0,N/A
918061,"August 21, 2017","New Jersey",Newark,"700 block of S 19th St",3,1,0,0,0,N/A
917820,"August 21, 2017","North Carolina",Whitakers,"980 Fishing Creek Rd",0,4,0,0,1,N/A
917713,"August 21, 2017",Maryland,Baltimore,"Cottage Avenue and Park Heights Avenue",3,1,0,0,1,N/A
917838,"August 21, 2017",Tennessee,Memphis,"262 Decatur St",4,0,0,0,0,N/A
916808,"August 20, 2017","New York",Brooklyn,"100th St and Ave M",4,0,0,0,0,N/A
916848,"August 20, 2017",Illinois,Chicago,"11901 S Loomis St",5,2,0,0,0,N/A
916551,"August 19, 2017",Ohio,Cleveland,"11143 Superior Ave",4,1,0,0,3,N/A
914819,"August 16, 2017","New York",Wyandanch,"Merritt Ave and 15th St",4,0,0,0,0,N/A
913924,"August 14, 2017",California,"North Hollywood","Morrison St and Klump Ave",2,2,0,0,0,N/A
912805,"August 13, 2017",Pennsylvania,Philadelphia,"39th St and Melon St",5,0,0,0,0,N/A
912322,"August 13, 2017",California,Sacramento,"4000 Block of Martin Luther King Jr Blvd",4,0,0,0,0,N/A
912375,"August 13, 2017",Virginia,Suffolk,"8700 block of Quay Rd",4,0,0,0,0,N/A
912093,"August 12, 2017",Missouri,"Saint Louis","12310 Bellefontaine Rd",3,1,0,0,1,N/A
909423,"August 8, 2017",Illinois,Chicago,"50 block of E 37th St",6,1,0,0,0,N/A
907555,"August 6, 2017","New York",Bronx,"Wickham Ave",6,0,0,0,1,N/A
907546,"August 6, 2017","New York",Bronx,"Unionport Rd",4,0,0,0,0,N/A
907857,"August 6, 2017",California,Oakland,"1000 block of 106th Avenue",7,0,0,0,0,N/A
907247,"August 5, 2017","New Jersey",Lakewood,"900 block of Brook Road",4,0,0,0,0,N/A
907611,"August 5, 2017","South Carolina",Allendale,"300 block of Ellis St",3,1,0,0,0,N/A
906568,"August 5, 2017",Florida,Tallahassee,"1939 W Tennessee St",3,1,0,0,0,N/A
906509,"August 4, 2017",Montana,"Lodge Grass","200 block of North Helen Street",2,3,0,0,0,N/A
906126,"August 3, 2017","District of Columbia",Washington,"3426 18th St NE",3,1,0,0,0,N/A
904329,"August 2, 2017",Maryland,Baltimore,"900 block of N Broadway",4,0,0,0,0,N/A
903853,"August 1, 2017",Illinois,Chicago,"800 block of N Monticello Ave",4,0,0,0,0,N/A
904106,"August 1, 2017",Washington,Toppenish,"8000 Block of Lateral C Rd",6,0,0,0,1,N/A
904026,"August 1, 2017",California,Fresno,"Mariposa St and A St",7,0,0,0,0,N/A
903090,"July 31, 2017",Illinois,Decatur,"Jasper St and Main St",4,0,0,0,0,N/A
902187,"July 30, 2017",Texas,"El Paso","1810 George Dieter Dr",3,1,0,0,1,N/A
901549,"July 30, 2017",Virginia,Norfolk,"1500 block of Azalea Garden Rd",5,1,0,0,1,N/A
901083,"July 29, 2017","New York",Buffalo,"200 block of Carl St",4,1,0,0,0,N/A
901000,"July 29, 2017","North Carolina",Salisbury,"115 W Fisher St",3,2,0,0,2,N/A
900963,"July 28, 2017",Delaware,Wilmington,"400 block of N Washington St",4,0,0,0,0,N/A
900387,"July 27, 2017",Illinois,Chicago,"2000 block of E 71st St",4,1,0,0,0,N/A
898631,"July 26, 2017","North Carolina","High Point","2111 E. Green Drive",6,1,0,0,0,N/A
898448,"July 25, 2017",Florida,Jacksonville,"1040 Golfair Boulevard",3,1,0,0,2,N/A
896444,"July 23, 2017",Illinois,Chicago,"1500 block of East 82nd St",3,1,0,0,0,N/A
896889,"July 23, 2017",Louisiana,"Baton Rouge","10360 Ave H",4,0,0,0,4,N/A
896149,"July 22, 2017",Ohio,Cincinnati,"130 E Clifton Ave",5,0,0,0,1,N/A
