"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
1289686,"December 31, 2018",Ohio,Cleveland,"4462 Denison Ave",2,3,0,0,0,N/A
1288376,"December 29, 2018",Ohio,Lima,"904 S Main St",3,1,0,0,1,N/A
1287286,"December 28, 2018",Missouri,"Saint Charles","150 Whetstone Dr",0,4,1,0,1,N/A
1284586,"December 24, 2018",Louisiana,Lutcher,"2176 Main St",2,2,0,0,2,N/A
1283229,"December 23, 2018",Missouri,Springfield,"1042 W College St",6,1,0,0,1,N/A
1282704,"December 22, 2018",Nevada,"Las Vegas","3528 S Maryland Pkwy",4,0,0,0,0,N/A
1279617,"December 18, 2018",Maryland,Baltimore,"3942 Park Heights Ave",4,0,1,0,1,N/A
1277327,"December 15, 2018",Florida,Miami,"239 NW 16th St",5,0,0,0,0,N/A
1277411,"December 14, 2018",Colorado,"Colorado Springs","700 block of Geiger Ct",3,1,0,0,2,N/A
1276091,"December 13, 2018",Pennsylvania,Philadelphia,"4505 N Broad St",4,0,0,0,0,N/A
1276298,"December 11, 2018",Louisiana,Natchitoches,"Caspari St and University Pkwy",3,1,0,0,0,N/A
1272855,"December 9, 2018",Wisconsin,Madison,"3554 E Washington Ave",4,0,0,0,2,N/A
1273161,"December 8, 2018",California,Inglewood,"801 S Inglewood Ave",5,0,0,0,0,N/A
1272106,"December 8, 2018","New York","Corona (Queens)","89-25 130th St",5,0,0,0,1,N/A
1267682,"December 1, 2018",Florida,Miami,"NW Fifth Ave and NW Eighth St",5,0,0,0,0,N/A
1266937,"November 26, 2018",Tennessee,Powell,"Tammy Dr",4,0,0,0,2,N/A
1262814,"November 25, 2018",Alabama,Demopolis,"Floyd St and Field St",2,2,0,0,0,N/A
1263332,"November 25, 2018",California,Oakland,"1000 block of 24th St",4,0,0,0,0,N/A
1263086,"November 25, 2018",Texas,Houston,"4500 block of Yale St",3,1,0,0,0,N/A
1262013,"November 23, 2018",Florida,Miami,"5801 NW 27th Ave",5,2,0,0,0,N/A
1261351,"November 22, 2018",Indiana,"Fort Wayne","6100 block of Downingtown Dr",2,3,0,0,2,N/A
1260525,"November 21, 2018",Missouri,"Saint Louis","4200 block of Shreve Ave",4,0,0,0,0,N/A
1258777,"November 19, 2018",Colorado,Denver,"1200 21st Street",3,1,1,0,2,N/A
1258804,"November 19, 2018",Pennsylvania,Philadelphia,"5100 block of Malcolm St",0,4,0,0,4,N/A
1258009,"November 18, 2018",California,"Los Angeles (Watts)","95th St and Defiance Ave",3,1,1,0,0,N/A
1257508,"November 16, 2018",Arkansas,"Little Rock","4405 W 14th St",1,3,0,0,1,N/A
1256435,"November 14, 2018",Louisiana,"Baton Rouge","4896 Gus Young Ave",1,3,0,0,0,N/A
1254225,"November 13, 2018","New Mexico",Gallup,"CR 1 and Defiance Draw Rd",1,3,0,1,0,N/A
1254084,"November 12, 2018","North Carolina",Dunn,"4640 Woods Crossroads Rd",1,3,0,0,1,N/A
1253361,"November 11, 2018",Arizona,Globe,"598 N Broad St",1,3,0,0,1,N/A
1249561,"November 7, 2018",California,"Thousand Oaks","99 Rolling Oaks Dr",2,12,0,1,0,N/A
1246727,"November 3, 2018","New York",Watertown,"136 Franklin St",5,0,0,0,1,N/A
1247019,"November 2, 2018",California,"Long Beach (North Long Beach)","5800 block of Brayton Ave",4,0,0,0,0,N/A
1246489,"November 2, 2018",Florida,Tallahassee,"1950 Thomasville Rd",4,2,0,1,0,N/A
1245274,"November 1, 2018",Missouri,Springfield,"906 E Locust St",2,3,0,0,1,N/A
1245703,"November 1, 2018",Minnesota,Minneapolis,"3400 block of Girard Ave N",5,0,0,0,0,N/A
1244754,"October 31, 2018",Michigan,Detroit,"19000 block of Langholm St",3,1,0,0,1,N/A
1246059,"October 30, 2018",California,Vallejo,"Woodrow Ave and Reis Ave",3,2,0,0,0,N/A
1244424,"October 30, 2018",California,"Los Angeles","65th Place and Vermont Avenue",5,0,0,0,0,N/A
1243331,"October 29, 2018",California,Riverside,"3252 Mission Inn Ave",7,0,0,0,0,N/A
1243010,"October 28, 2018",Arkansas,"El Dorado","2 Whites Quarters",2,2,0,0,1,N/A
1242807,"October 27, 2018",Tennessee,Memphis,"4275 Lady Slipper Ln",5,0,0,0,3,N/A
1241819,"October 27, 2018",Pennsylvania,Pittsburgh,"5898 Wilkins Ave",6,11,1,0,1,N/A
1242443,"October 26, 2018","New Jersey","Jersey City","77 Brinkerhoff St",3,1,0,0,2,N/A
1240751,"October 24, 2018",Illinois,Chicago,"6200 block of S King Dr",5,0,0,0,0,N/A
