"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Injured","# Victims Killed","# Subjects-Suspects Injured","# Subjects-Suspects Killed","# Subjects-Suspects Arrested",Operations
2595583,"May 11, 2023",Illinois,Chicago,"600 block of W 61st Pl",3,2,0,0,0,N/A
2594759,"May 10, 2023",Colorado,Denver,"9600 E Girard Ave",4,1,0,0,0,N/A
2590876,"May 7, 2023","New Jersey",Newark,"300 block of Orange St",3,1,0,0,0,N/A
2590669,"May 7, 2023",California,Adelanto,"10900 block of Bartlett Ave",5,2,0,0,0,N/A
2591640,"May 7, 2023",California,Thornton,"8600 block of W Mokelumne Ave",3,1,0,0,0,N/A
2591449,"May 7, 2023",Wisconsin,"Fond Du Lac","912 Martin Ave",3,1,0,0,1,N/A
2590617,"May 7, 2023",Missouri,"Saint Louis","2100 block of Branch St",2,2,0,0,0,N/A
2590631,"May 7, 2023",Missouri,Columbia,"904 Business Loop 70 E",3,1,1,0,2,N/A
2590940,"May 7, 2023",Maryland,Frostburg,"E College Ave",3,1,0,0,0,N/A
2591270,"May 7, 2023",California,"Redwood City","400 block of Redwood Ave",5,0,0,0,0,N/A
2589882,"May 6, 2023",California,Chico,"1000 block of Columbus Ave",5,1,0,0,0,N/A
2589762,"May 6, 2023",Ohio,Columbus,"624 N High St",9,0,1,0,1,N/A
2589765,"May 6, 2023",Ohio,Columbus,"1400 block of St Clair Ave",3,1,0,1,0,N/A
2590046,"May 6, 2023",Texas,Allen,"820 W Stacy Rd",7,8,0,1,0,N/A
2592771,"May 6, 2023",Mississippi,"Robinsonville (Tunica Resorts)","2669 Kirby Rd",4,0,0,0,0,N/A
2589699,"May 5, 2023",Mississippi,"Ocean Springs","1013 Government St",6,1,0,0,1,N/A
2592407,"May 5, 2023",Louisiana,Bastrop,"Welch Ave. and Pruitt St",2,2,0,0,1,N/A
2589981,"May 5, 2023",Missouri,"Saint Louis","2837 Cherokee St",2,2,0,0,0,N/A
2589804,"May 5, 2023",Mississippi,Natchez,"261 Devereux Dr",3,2,0,0,2,N/A
2589790,"May 5, 2023",Mississippi,Vicksburg,"1320 Levee St",4,0,0,0,0,N/A
2587918,"May 3, 2023",Illinois,Chicago,"6300 block of South Calumet Ave",4,0,0,0,0,N/A
2587386,"May 3, 2023",Georgia,Atlanta,"1110 W Peachtree St NW",4,1,0,0,1,N/A
2587288,"May 2, 2023",Florida,"Lake Wales","614 Dawnlight Dr",0,4,0,1,0,N/A
2588047,"May 2, 2023",Louisiana,"Bossier City","3820 LA-782",2,2,0,0,1,N/A
2584808,"April 30, 2023",Louisiana,Lafayette,"W Congress Ave and University Ave",5,1,0,0,0,N/A
2584772,"April 30, 2023",Kentucky,Paducah,"505 S 8th St",4,0,0,0,4,N/A
2586872,"April 30, 2023",Oklahoma,Henryetta,"14360 Holly Rd",0,6,0,1,0,N/A
2584779,"April 30, 2023",Oklahoma,"Oklahoma City","3000 W Memorial Rd",3,1,0,0,0,N/A
2586747,"April 30, 2023",Nevada,"Las Vegas (Enterprise)","Bermuda Rd and Pilot Rd",4,0,0,0,0,N/A
2584743,"April 30, 2023",Georgia,Athens,"1155 Mitchell Bridge Rd",3,1,0,0,0,N/A
